salsify:id,salsify:name,salsify:attribute_id,salsify:parent_id
beauty,Beauty,Demandware Category,root
beauty-bath-body,Bath & Body,Demandware Category,beauty
beauty-bath-body-body-moisturizers-lotions,Body Moisturizers & Lotions,Demandware Category,beauty-bath-body
beauty-bath-body-body-scrubs,Body Scrubs,Demandware Category,beauty-bath-body
beauty-bath-body-bubble-baths-soaks,Bubble Baths & Soaks,Demandware Category,beauty-bath-body
beauty-bath-body-foot-care,Foot Care,Demandware Category,beauty-bath-body
beauty-bath-body-soaps-body-washes,Soaps & Body Washes,Demandware Category,beauty-bath-body
beauty-beauty-accessories-tools,Beauty Accessories & Tools,Demandware Category,beauty
beauty-beauty-accessories-tools-cosmetic-bags-organizers,Cosmetic Bags & Organizers,Demandware Category,beauty-beauty-accessories-tools
beauty-beauty-accessories-tools-makeup-brushes-tools,Makeup Brushes & Tools,Demandware Category,beauty-beauty-accessories-tools
beauty-beauty-accessories-tools-mirrors,Mirrors,Demandware Category,beauty-beauty-accessories-tools
beauty-fragrances,Fragrances,Demandware Category,beauty
beauty-fragrances-deoderants-powders,Deoderants & Powders,Demandware Category,beauty-fragrances
beauty-fragrances-fragrance-gift-value-sets,Fragrance Gift & Value Sets,Demandware Category,beauty-fragrances
beauty-fragrances-mens-cologne,Men's Cologne,Demandware Category,beauty-fragrances
beauty-fragrances-womens-perfumes,Women's Perfumes,Demandware Category,beauty-fragrances
beauty-hair-care,Hair Care,Demandware Category,beauty
beauty-hair-care-hair-styling-tools,Hair Styling Tools,Demandware Category,beauty-hair-care
beauty-hair-care-hair-styling-tools-curling-irons,Curling Irons,Demandware Category,beauty-hair-care
beauty-hair-care-hair-styling-tools-flat-irons,Flat Irons,Demandware Category,beauty-hair-care
beauty-hair-care-hair-styling-tools-hair-dryers,Hair Dryers,Demandware Category,beauty-hair-care
beauty-hair-care-hair-styling-tools-hair-rollers,Hair Rollers,Demandware Category,beauty-hair-care
beauty-hair-care-hair-treatments,Hair Treatments,Demandware Category,beauty-hair-care
beauty-hair-care-shampoos-conditioners,Shampoos & Conditioners,Demandware Category,beauty-hair-care
beauty-hair-care-styling-products,Styling Products,Demandware Category,beauty-hair-care
beauty-makeup,Makeup,Demandware Category,beauty
beauty-makeup-eye-makeup,Eye Makeup,Demandware Category,beauty-makeup
beauty-makeup-eye-makeup-brows,Brows,Demandware Category,beauty-makeup-eye-makeup
beauty-makeup-eye-makeup-eye-base-primer,Eye Base & Primer,Demandware Category,beauty-makeup-eye-makeup
beauty-makeup-eye-makeup-eyeliner,Eyeliner,Demandware Category,beauty-makeup-eye-makeup
beauty-makeup-eye-makeup-eyeshadow,Eyeshadow,Demandware Category,beauty-makeup-eye-makeup
beauty-makeup-eye-makeup-false-eyelashes,False Eyelashes,Demandware Category,beauty-makeup-eye-makeup
beauty-makeup-eye-makeup-mascara,Mascara,Demandware Category,beauty-makeup-eye-makeup
beauty-makeup-face-makeup,Face Makeup,Demandware Category,beauty-makeup
beauty-makeup-face-makeup-blush,Blush,Demandware Category,beauty-makeup-face-makeup
beauty-makeup-face-makeup-bronzer,Bronzer,Demandware Category,beauty-makeup-face-makeup
beauty-makeup-face-makeup-concealer,Concealer,Demandware Category,beauty-makeup-face-makeup
beauty-makeup-face-makeup-foundation,Foundation,Demandware Category,beauty-makeup-face-makeup
beauty-makeup-face-makeup-luminizer,Luminizer,Demandware Category,beauty-makeup-face-makeup
beauty-makeup-face-makeup-primer,Primer,Demandware Category,beauty-makeup-face-makeup
beauty-makeup-lipsticks-liners-glosses,"Lipsticks, Liners & Glosses",Demandware Category,beauty-makeup
beauty-makeup-lipsticks-liners-glosses-lip-balm,Lip Balm,Demandware Category,beauty-makeup-lipsticks-liners-glosses
beauty-makeup-lipsticks-liners-glosses-lip-gloss,Lip Gloss,Demandware Category,beauty-makeup-lipsticks-liners-glosses
beauty-makeup-lipsticks-liners-glosses-lip-liner,Lip Liner,Demandware Category,beauty-makeup-lipsticks-liners-glosses
beauty-makeup-lipsticks-liners-glosses-lip-plumper,Lip Plumper,Demandware Category,beauty-makeup-lipsticks-liners-glosses
beauty-makeup-lipsticks-liners-glosses-lip-stain,Lip Stain,Demandware Category,beauty-makeup-lipsticks-liners-glosses
beauty-makeup-lipsticks-liners-glosses-lip-stick,Lip Stick,Demandware Category,beauty-makeup-lipsticks-liners-glosses
beauty-makeup-makeup-kits-palettes-gift-sets,"Makeup Kits, Palettes & Gift Sets",Demandware Category,beauty-makeup
beauty-makeup-makeup-removers,Makeup Removers,Demandware Category,beauty-makeup
beauty-makeup-makeup-tools,Makeup Tools,Demandware Category,beauty-makeup
beauty-mens-grooming,Men's Grooming,Demandware Category,beauty
beauty-mens-grooming-mens-gift-sets,Men's Gift Sets,Demandware Category,beauty-mens-grooming
beauty-mens-grooming-mens-hair-body-care,Men's Hair & Body Care,Demandware Category,beauty-mens-grooming
beauty-mens-grooming-mens-hair-body-care-mens-body-lotion,Men's Body Lotion,Demandware Category,beauty-mens-grooming-mens-hair-body-care
beauty-mens-grooming-mens-hair-body-care-mens-body-sprays-deodorant,Men's Body Sprays & Deodorant,Demandware Category,beauty-mens-grooming-mens-hair-body-care
beauty-mens-grooming-mens-hair-body-care-mens-hair-care,Men's Hair Care,Demandware Category,beauty-mens-grooming-mens-hair-body-care
beauty-mens-grooming-mens-hair-body-care-mens-soap-body-wash,Men's Soap & Body Wash,Demandware Category,beauty-mens-grooming-mens-hair-body-care
beauty-mens-grooming-mens-hair-body-care-mens-sun-protection,Men's Sun Protection,Demandware Category,beauty-mens-grooming-mens-hair-body-care
beauty-mens-grooming-mens-skin-care,Men's Skin Care,Demandware Category,beauty-mens-grooming
beauty-mens-grooming-mens-skin-care-mens-eye,Men's Eye,Demandware Category,beauty-mens-grooming-mens-skin-care
beauty-mens-grooming-mens-skin-care-mens-face-wash-scrubs,Men's Face Wash & Scrubs,Demandware Category,beauty-mens-grooming-mens-skin-care
beauty-mens-grooming-mens-skin-care-mens-moisturizers,Men's Moisturizers,Demandware Category,beauty-mens-grooming-mens-skin-care
beauty-mens-grooming-mens-skin-care-mens-skin-treatments,Men's Skin Treatments,Demandware Category,beauty-mens-grooming-mens-skin-care
beauty-mens-grooming-mens-skin-care-mens-toners,Men's Toners,Demandware Category,beauty-mens-grooming-mens-skin-care
beauty-mens-grooming-shaving-hair-removal,Shaving & Hair Removal,Demandware Category,beauty-mens-grooming
beauty-mens-grooming-shaving-hair-removal-aftershaves,Aftershaves,Demandware Category,beauty-mens-grooming-shaving-hair-removal
beauty-mens-grooming-shaving-hair-removal-hair-trimmers-clippers,Hair Trimmers & Clippers,Demandware Category,beauty-mens-grooming-shaving-hair-removal
beauty-mens-grooming-shaving-hair-removal-razers-shaving-tools,Razers & Shaving Tools,Demandware Category,beauty-mens-grooming-shaving-hair-removal
beauty-mens-grooming-shaving-hair-removal-shaving-creams-oils,Shaving Creams & Oils,Demandware Category,beauty-mens-grooming-shaving-hair-removal
beauty-mens-grooming-shaving-hair-removal-shaving-kits-sets,Shaving Kits & Sets,Demandware Category,beauty-mens-grooming-shaving-hair-removal
beauty-nails,Nails,Demandware Category,beauty
beauty-nails-manicure-pedicure-tools,Manicure & Pedicure Tools,Demandware Category,beauty-nails
beauty-nails-nail-art,Nail Art,Demandware Category,beauty-nails
beauty-nails-nail-base-coat-top-coats,Nail Base Coat & Top Coats,Demandware Category,beauty-nails
beauty-nails-nail-gift-sets,Nail Gift Sets,Demandware Category,beauty-nails
beauty-nails-nail-polish,Nail Polish,Demandware Category,beauty-nails
beauty-skin-care,Skin Care,Demandware Category,beauty
beauty-skin-care-cleansers,Cleansers,Demandware Category,beauty-skin-care
beauty-skin-care-cleansers-cleansing-oil,Cleansing Oil,Demandware Category,beauty-skin-care-cleansers
beauty-skin-care-cleansers-exfoliators-scrubs,Exfoliators & Scrubs,Demandware Category,beauty-skin-care-cleansers
beauty-skin-care-cleansers-face-wash,Face Wash,Demandware Category,beauty-skin-care-cleansers
beauty-skin-care-cleansers-makeup-removers,Makeup Removers,Demandware Category,beauty-skin-care-cleansers
beauty-skin-care-cleansers-toners-mists,Toners & Mists,Demandware Category,beauty-skin-care-cleansers
beauty-skin-care-moisturizers,Moisturizers,Demandware Category,beauty-skin-care
beauty-skin-care-moisturizers-eyes-moisturizers,Eyes Moisturizers,Demandware Category,beauty-skin-care-moisturizers
beauty-skin-care-moisturizers-facial-moisturizers,Facial Moisturizers,Demandware Category,beauty-skin-care-moisturizers
beauty-skin-care-moisturizers-lip-moisturizers,Lip Moisturizers,Demandware Category,beauty-skin-care-moisturizers
beauty-skin-care-moisturizers-night-treatments,Night Treatments,Demandware Category,beauty-skin-care-moisturizers
beauty-skin-care-moisturizers-tinted-moisturizers,Tinted Moisturizers,Demandware Category,beauty-skin-care-moisturizers
beauty-skin-care-skin-care-gift-value-sets,Skin Care Gift & Value Sets,Demandware Category,beauty-skin-care
beauty-skin-care-skin-care-tools-accessories,Skin Care Tools & Accessories,Demandware Category,beauty-skin-care
beauty-skin-care-sun-care,Sun Care,Demandware Category,beauty-skin-care
beauty-skin-care-treatments-serums,Treatments & Serums,Demandware Category,beauty-skin-care
beauty-skin-care-treatments-serums-eye-treatments-serums,Eye Treatments & Serums,Demandware Category,beauty-skin-care-treatments-serums
beauty-skin-care-treatments-serums-face-treatments-serums,Face Treatments & Serums,Demandware Category,beauty-skin-care-treatments-serums
beauty-skin-care-treatments-serums-lip-treatments-serums,Lip Treatments & Serums,Demandware Category,beauty-skin-care-treatments-serums
beauty-skin-care-treatments-serums-masks,Masks,Demandware Category,beauty-skin-care-treatments-serums
bed-bath,Bed & Bath,Demandware Category,root
bed-bath-bath,Bath,Demandware Category,bed-bath
bed-bath-bath-bath-accessories-sets,Bath Accessories & Sets,Demandware Category,bed-bath-bath
