product_id,alternativeUrl,brand,bvEnabled,description,display_name,enableCompare,headerMenuBanner,headerMenuOrientation,Is Category Attribute?,is_primary_category,online_to,online_from,online-flag,position,seodisplayName,showInMenu,sizeChartID,salsify:profile_asset_id
beauty,,,,,Beauty,,,,Yes,Yes,2016-12-14,2016-12-14,Yes,1,,Yes,,
beauty-bath-body-soaps-body-washes,,,,,Soaps & Body Washes,,,,Yes,Yes,2016-12-14,2016-12-14,Yes,1,,Yes,,
beauty-fragrances-deoderants-powders,,,,,Deoderants &amp; Powders,,,,Yes,,,,Yes,,,,,
beauty-hair-care,,,,,Hair Care,,,,Yes,,,,Yes,4,,Yes,,
beauty-hair-care-hair-styling-tools-flat-irons,,,,,Flat Irons,,,,Yes,,,,Yes,,,,,
beauty-hair-care-styling-products,,,,,Styling Products,,,,Yes,,,,Yes,0,,Yes,,
beauty-makeup-eye-makeup-brows,,,,,Brows,,,,Yes,,,,Yes,0,,,,
beauty-makeup-eye-makeup-eye-base-primer,,,,,Eye Base & Primer,,,,Yes,,,,Yes,0,,,,
beauty-makeup-eye-makeup-mascara,,,,,Mascara,,,,Yes,,,,No,0,,,,
root,,,,,Belk Storefront Catalog,,,,Yes,,,,Yes,0,,,,
beauty-makeup-face-makeup-blush,,,,,Blush,,,,Yes,,,,Yes,0,,Yes,,
,,,,,,,,,,,,,,,,,,
