salsify:id,salsify:name,salsify:attribute_id,salsify:parent_id
For the Home,For the Home,iphCategory,
For the Home > Bath,Bath,iphCategory,For the Home
For the Home > Bath > Towels,Towels,iphCategory,For the Home > Bath
Mens,Mens,iphCategory,
Mens > Pants,Pants,iphCategory,Mens
100,100,Class#,
101,101,Class#,
102,102,Class#,
1001,1001,Dept#,
1002,1002,Dept#,
1003,1003,Dept#,
1,1,OmniChannel Brand,
10,10,OmniChannel Brand,
1,1,omniChannelColorDescription,
20,20,omniChannelColorDescription,
blue,blue,refinementColor,
brown,brown,refinementColor,
272980,272980,omniSizeDesc,
272981,272981,omniSizeDesc,
272982,272982,omniSizeDesc,
1,1,refinementSize,
2,2,refinementSize,
3,3,refinementSize,
1,1,nrfColorCode,
100,100,nrfColorCode,
